0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
69,280 大安區,龍泉段三小段671地號等土地,臺北市大安區浦城街,,108/9/2,10,6,,2,2,,,,4,10,30
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,5,,
案件,,,,,,,,,,,,,,5,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,5,,
數,,,,,,原容大於法,,,,7綠,,,,5,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,5,,總獎勵額度
,,,,,,容3,,,,建築,,,,5,模獎,
,,,,,,,估,縮,計,,築,設計,設地,5,,
,,,,,,,,,,,,,,5,勵,
70,524 中山區,長安段四小段8地號等土地,臺北市中山區建國北路一段,宣美飯店,108/9/3,,8,,10,6,6,,,5,2,32
71,536 中正區,永昌段三小段291-2地號等土地 臺北市中正區詔安街,,,108/9/6,,8,8,2,6,6,,,5,10,40
72,401 大同區,延平段三小段443地號等土地,臺北市大同區延平北路二段,,108/9/6,,6,,,,,,,5,10,16
73,779 中正區,公園段二小段604地號等土地,臺北市中正區懷寧街,失其效力,108/9/6,,8,8,10,6,,,,5,10,40
74,295 中正區,臨沂段四小段294地號等土地,臺北市中正區仁愛路二段,失其效力,108/9/6,,8,,4,8,6,3,,5,10,39
75,101 中山區,中山段二小段159地號等土地,臺北市中山區天祥路,,108/9/16,,8,,4,6,,,,5,10,28
76,326.99 士林區,華岡段一小段262地號等土地,臺北市士林區大亨路,,108/9/16,,6,,,,,,,5,10,16
77,1004 文山區,興安段三小段106地號等土地,臺北市文山區景華街,,108/9/18,,6,8,6,8,,3,,5,10,40
78,663 松山區,寶清段七小段298地號等土地,臺北市松山鎮饒河街,,108/9/18,,8,,4,6,,,,5,10,28
79,354 中山區,長安段一小段56-1地號等土地,臺北市中山區南京東路三段,,108/9/18,,8,,10,6,6,,,5,10,40
80,569 文山區,木柵段一小段659地號等土地,臺北市文山區木柵路三段,,108/9/26,,8,8,2,6,6,,,5,10,40
81,299 大同區,雙連段一小段629地號等土地,臺北市大同區承德路二段,,108/10/1,,6,8,6,6,,4,,5,10,40
82,996 中山區,中山段一小段533地號等土地,臺北市中山區雙城街,,108/10/1,,8,10,2,6,6,,,5,10,40
83,198 中正區,臨沂段三小段239地號等土地,臺北市中正區臨沂街,失其效力,108/10/5,,8,,,,,,,5,10,18
